,metric,similarity_func,similarity_cor,relatedness_cor,model_name,missed_words,unique_missed_words
0,scikit.pearsonr,LeacockChodorow,0.5807076941767733,0.42292050106267276,slowosiec-graph-hiperonim-connected-by-top-sort,23,17
1,scikit.spearmanr,LeacockChodorow,0.5682003365487287,0.43121965207851803,slowosiec-graph-hiperonim-connected-by-top-sort,23,17
2,scikit.pearsonr,WuPalmer,0.2446163838234921,0.16767401675742785,slowosiec-graph-hiperonim-connected-by-top-sort,23,17
3,scikit.spearmanr,WuPalmer,0.2919720856408428,0.1625569491290482,slowosiec-graph-hiperonim-connected-by-top-sort,23,17
4,scikit.pearsonr,LeacockChodorow,-0.05325000202046062,0.16892324709313333,slowosiec-graph-lexical-connected-by-top-sort,25,21
5,scikit.spearmanr,LeacockChodorow,-0.05928112043294871,0.1252447244876936,slowosiec-graph-lexical-connected-by-top-sort,25,21
6,scikit.pearsonr,WuPalmer,-0.0678528222546016,0.12333790320233208,slowosiec-graph-lexical-connected-by-top-sort,25,21
7,scikit.spearmanr,WuPalmer,-0.10384162769402315,0.06907631318395202,slowosiec-graph-lexical-connected-by-top-sort,25,21
8,scikit.pearsonr,LeacockChodorow,0.30812031879720464,0.40379505324756554,slowosiec-graph-hiperonim-lexical-connected-by-top-sort,10,10
9,scikit.spearmanr,LeacockChodorow,0.3960518299174301,0.45771497978876646,slowosiec-graph-hiperonim-lexical-connected-by-top-sort,10,10
10,scikit.pearsonr,WuPalmer,-0.06827340088272112,0.12402150729851989,slowosiec-graph-hiperonim-lexical-connected-by-top-sort,10,10
11,scikit.spearmanr,WuPalmer,0.20626589998770056,0.28419867167691326,slowosiec-graph-hiperonim-lexical-connected-by-top-sort,10,10
